Año,Mes,NombreMes,SV_Unidades,SV_Comision,VC_Unidades,VC_Comision,Trimestral,Salario
2024,1,Enero,8,0,8,0,,3.500.000
2024,2,Febrero,12,1.094.400,12,600.000,,3.500.000
2024,3,marzo,15,1.915.200,15,1.050.000,,3.500.000
2024,4,abril,21,4.940.000,21,1.950.000,,3.500.000
2024,5,mayo,18,3.800.000,18,1.500.000,,3.500.000
2024,6,junio,17,3.420.000,17,1.350.000,2200000,3.500.000
2024,7,julio,12,1.094.400,12,600.000,,3.500.000
2024,8,agosto,15,1.915.200,15,1.050.000,,3.500.000
2024,9,septiembre,15,1.915.200,15,1.050.000,,3.500.000
2024,10,octubre,12,1.094.400,12,600.000,,3.500.000
2024,11,noviembre,11,364.800,11,450.000,1200000,3.500.000
2024,12,diciembre,5,0,5,-450.000,,3.500.000
2025,1,enero,12,1.094.400,12,600.000,,3.500.000
2025,2,febrero,13,1.368.000,13,750.000,,3.500.000
2025,3,marzo,12,1.094.400,12,600.000,,3.500.000
2025,4,abril,14,1.641.600,14,900.000,2200000,3.500.000
2025,5,mayo,12,1.094.400,12,600.000,,3.500.000
2025,6,junio,14,1.641.600,14,900.000,,3.500.000
2025,7,julio,11,364.800,11,450.000,1200000,3.500.000
2025,8,agosto,10,243.200,10,300.000,,3.500.000
2025,9,septiembre,7,0,7,,,3.500.000
2025,10,octubre,14,1.641.600,14,900.000,,3.500.000
2025,11,noviembre,3,0,3,,,3.500.000
2025,12,diciembre,10,243.200,10,300.000,,3.500.000
